,autor,libro,metaTL,poema,fragmento,destinatario,texto,AA#1-Espasa(1989)-Roman num.,AA#2-Espasa(1989)-Arabian num.,MM#1-Etc.,MM#2-Etc.,,,,,,,
50208,Antonio Machado,02-Campos de Castilla (1907-1917),,"¿Eres tú, Guadarrama, viejo amigo",,,"¿Eres tú, Guadarrama, viejo amigo, 
la sierra gris y blanca, 
la sierra de mis tardes madrileñas 
que yo veía en el azul pintada? 

Por tus barrancos hondos 
y por tus cumbres agrias, 
mil Guadarramas y mil soles vienen, 
cabalgando conmigo, a tus entrañas. 
",CIV,104,"(Camino de Balsaín, 1911.)",,,,,,,,
50209,Antonio Machado,02-Campos de Castilla (1907-1917),,"(En abril, las aguas mil)",,,"Son de abril las aguas mil. 
Sopla el viento achubascado, 
y entre nublado y nublado 
hay trozos de cielo añil. 

Agua y sol. El iris brilla. 
En una nube lejana, 
zigzaguea 
una centella amarilla. 

La lluvia da en la ventana 
y el cristal repiquetea. 

A través de la neblina 
que forma la lluvia fina, 
se divisa un prado verde, 
y un encinar se esfumina, 
y una sierra gris se pierde.

Los hilos del aguacero 
sesgan las nacientes frondas, 
y agitan las turbias ondas 
en el remanso del Duero. 

Lloviendo está en los habares 
y en las pardas sementeras; 
hay sol en los encinares, 
charcos por las carreteras. 

Lluvia y sol. Ya se obscurece 
el campo, ya se ilumina; 
allí un cerro desparece, 
allá surge una colina. 

Ya son claros, ya sombríos 
los dispersos caseríos, 
los lejanos torreones. 

Hacia la sierra plomiza
van rodando en pelotones 
nubes de guata y ceniza.",CV,105,,,,,,,,,
50210,Antonio Machado,02-Campos de Castilla (1907-1917),,(Un loco),,,"Es una tarde mustia y desabrida 
de un otoño sin frutos, en la tierra 
estéril y raída 
donde la sombra de un centauro yerra. 

Por un camino en la árida llanura, 
entre álamos marchitos, 
a solas con su sombra y su locura
va el loco, hablando a gritos. 

Lejos se ven sombríos estepares, 
colinas con malezas y cambrones, 
y ruinas de viejos encinares, 
coronando los agrios serrijones. 

El loco vocifera 
a solas con su sombra y su quimera. 
Es horrible y grotesca su figura;
flaco, sucio, maltrecho y mal rapado, 
ojos de calentura 
iluminan su rostro demacrado. 

Huye de la ciudad . . . Pobres maldades, 
misérrimas virtudes y quehaceres 
de chulos aburridos, y ruindades 
de ociosos mercaderes. 

Por los campos de Dios el loco avanza. 
Tras la tierra esquelética y sequiza 
—rojo de herrumbe y pardo de ceniza— 
hay un sueño de lirio en lontananza. 

Huye de la ciudad. ¡El tedio urbano! 
—¡Carne triste y espíritu villano!—

No fue por una trágica amargura 
esta alma errante desgajada y rota; 
purga un pecado ajeno: la cordura,
la terrible cordura del idiota.",CVI,106,,,,,,,,,
50211,Antonio Machado,02-Campos de Castilla (1907-1917),,(Fantasía iconográfica),,,"La calva prematura 
brilla sobre la frente amplia y severa; 
bajo la piel de pálida tersura 
se trasluce la fina calavera. 

Mentón agudo y pómulos marcados 
por trazos de un punzón adamantino; 
y de insólita púrpura manchados 
los labios que soñara un florentino. 

Mientras la boca sonreír parece, 
los ojos perspicaces, 
que un ceño pensativo empequeñece, 
miran y ven, profundos y tenaces. 

Tiene sobre la mesa un libro viejo 
donde posa la mano distraída. 
Al fondo de la cuadra, en el espejo,
una tarde dorada está dormida. 

Montañas de violeta 
y grisientos breñales, 
la tierra que ama el santo y el poeta, 
los buitres y las águilas caudales. 

Del abierto balcón al blanco muro 
va una franja de sol anaranjada 
que inflama el aire, en el ambiente obscuro 
que envuelve la armadura arrinconada.",CVII,107,,,,,,,,,
50212,Antonio Machado,02-Campos de Castilla (1907-1917),,(Un criminal),,,"El acusado es pálido y lampiño. 
Arde en sus ojos una fosca lumbre, 
que repugna a su máscara de niño 
y ademán de piadosa mansedumbre. 

Conserva del obscuro seminario 
el talante modesto y la costumbre 
de mirar a la tierra o al breviario.

Devoto de María, 
madre de pecadores, 
por Burgos bachiller en teología, 
presto a tomar las órdenes menores. 

Fue su crimen atroz. Hartóse un día 
de los textos profanos y divinos, 
sintió pesar del tiempo que perdía 
enderezando hipérbatons latinos.

Enamoróse de una hermosa niña; 
subiósele el amor a la cabeza 
como el zumo dorado de la viña, 
y despertó su natural fiereza. 

En sueños vio a sus padres—labradores 
de mediano caudal—iluminados, 
del hogar por los rojos resplandores, 
los campesinos rostros atezados. 

Quiso heredar. ¡Oh, guindos y nogales 
del huerto familiar, verde y sombrío, 
y doradas espigas candeales 
que colmarán los trojes del estío! 

Y se acordó del hacha que pendía 
en el muro, luciente y afilada, 
el hacha fuerte que la leña hacía 
de la rama de roble cercenada.
.....................................................................

Frente al reo, los jueces con sus viejos 
ropones enlutados; 
y una hilera de obscuros entrecejos 
y de plebeyos rostros: los jurados. 

El abogado defensor perora, 
golpeando el pupitre con la mano; 
emborrona papel un escribano, 
mientras oye el fiscal, indiferente, 
el alegato enfático y sonoro, 
y repasa los autos judiciales 
o, entre sus dedos, de las gafas de oro 
acaricia los límpidos cristales.

Dice un ujier: «Va sin remedio al palo». 
El joven cuervo la clemencia espera. 
Un pueblo, carne de horca, la severa 
justicia aguarda que castiga al malo.",CVIII,108,,,,,,,,,
50213,Antonio Machado,02-Campos de Castilla (1907-1917),,(Amanecer de otoño),,,"Una larga carretera 
entre grises peñascales, 
y alguna humilde pradera 
donde pacen negros toros. Zarzas, malezas, jarales. 

Está la tierra mojada 
por las gotas del rocío, 
y la alameda dorada, 
hacia la curva del río. 

Tras los montes de violeta 
quebrado el primer albor; 
a la espalda la escopeta, 
entre sus galgos agudos, caminando un cazador.",CIX,109,,,,,,,,,
50214,Antonio Machado,02-Campos de Castilla (1907-1917),,(En tren),,,"Yo, para todo viaje 
—siempre sobre la madera 
de mi vagón de tercera—, 
voy ligero de equipaje. 
Si es de noche, porque no 
acostumbro a dormir yo, 
y de día, por mirar 
los arbolitos pasar, 
yo nunca duermo en el tren, 
y, sin embargo, voy bien. 
¡Este placer de alejarse! 
Londres, Madrid, Ponferrada, 
tan lindos . . . para marcharse. 
Lo molesto es la llegada.
Luego, el tren, al caminar, 
siempre nos hace soñar; 
y casi, casi olvidamos
el jamelgo que montamos. 
¡Oh, el pollino 
que sabe bien el camino! 
¿Dónde estamos? 
¿Dónde todos nos bajamos? 
¡Frente a mí va una monjita 
tan bonita! 
Tiene esa expresión serena 
que a la pena 
da una esperanza infinita. 
Y yo pienso: Tú eres buena; 
porque diste tus amores 
a Jesús; porque jio quieres 
ser madre de pecadores. 
Mas tú eres 
maternal, 
bendita entre las mujeres, 
madrecita virginal.
Algo en tu rostro es divino
bajo tus cofias de lino.
Tus mejillas
—esas rosas amarillas—
fueron rosadas, y, luego,
ardió en tus entrañas fuego;
y hoy, esposa de la Cruz,
ya eres luz, y sólo luz...
¡Todas las mujeres bellas
fueran, como tú, doncellas
en un convento a encerrarse!...
Y la niña que yo quiero,
¡ay! ¡preferirá casarse
con un mocito barbero!
El tren camina y camina,
y la máquina resuella,
y tose con tos ferina.
¡Vamos en una centella!
",CX,110,,,,,,,,,
50215,Antonio Machado,02-Campos de Castilla (1907-1917),,(Noche de verano),,,"Es una hermosa noche de verano. 
Tienen las altas casas 
abiertos los balcones 
del viejo pueblo a la anchurosa plaza. 
En el amplio rectángulo desierto, 
bancos de piedra, evónimos y acacias 
simétricos dibujan 
sus negras sombras en la arena blanca. 
En el cenit, la luna, y en la torre, 
la esfera del reloj iluminada. 
Yo en este viejo pueblo paseando 
solo, como un fantasma.

",CXI,111,,,,,,,,,
50216,Antonio Machado,02-Campos de Castilla (1907-1917),,(Pascua de Resurrección),,,"Mirad: el arco de la vida traza 
el iris sobre el campo que verdea. 
Buscad vuestros amores, doncellitas, 
done brota la fuente de la piedra. 
En donde el agua ríe y sueña y pasa, 
allí el romance del amor se cuenta. 
¿No han de mirar un día, en vuestros brazos, 
atónitos, el sol de primavera, 
ojos que vienen a la luz cerrados, 
y que al partirse de la vida ciegan? 
¿No beberán un día en vuestros senos 
los que mañana labrarán la tierra? 
¡Oh, celebrad este domingo claro, 
madrecitas en flor, vuestras entrañas nuevas! 
Gozad esta sonrisa de vuestra ruda madre. 
Ya sus hermosos hidos habitan las cigüeñas, 
y escriben en las torres sus blancos garabatos.
Como esmeraldas lucen los musgos de las peñas. 
Entre los robles muerden 
los negros toros la menuda hierba, 
y el pastor que apacienta los merinos 
su pardo sayo en la montaña deja.",CXII,112,,,,,,,,,
50217,Antonio Machado,02-Campos de Castilla (1907-1917),,(Campos de Soria),I,,"Es la tierra de Soria árida y fría. 
Por las colinas y las sierras calvas, 
verdes pradillos, cerros cenicientos, 
la primavera pasa 
dejando entre las hierbas olorosas 
sus diminutas margaritas blancas. 

La tierra no revive, el campo sueña. 
Al empezar abril está nevada 
la espalda del Moncayo; 
el caminante lleva en su bufanda 
envueltos cuello y boca, y los pastores 
pasan cubiertos con sus luengas capas.
",CXIII,113,,,,,,,,,
50218,Antonio Machado,02-Campos de Castilla (1907-1917),,(Campos de Soria),II,,"Las tierras labrantías, 
como retazos de estameñas pardas, 
el huertecillo, el abejar, los trozos 
de verde obscuro en que el merino pasta, 
entre plomizos peñascales, siembran 
el sueño alegre de infantil Arcadia. 
En los chopos lejanos del camino, 
parecen humear las yertas ramas 
como un glauco vapor—las nuevas hojas— 
y en las quiebras de valles y barrancas 
blanquean los zarzales florecidos, 
y brotan las violetas perfumadas.",CXIII,113,,,,,,,,,
50219,Antonio Machado,02-Campos de Castilla (1907-1917),,(Campos de Soria),III,,"Es el campo undulado, y los caminos 
ya ocultan los viajeros que cabalgan 
en pardos borriquillos, 
ya al fondo de la tarde arrebolada 
elevan las plebeyas figurillas, 
que el lienzo de oro del ocaso manchan. 
Mas si trepáis a un cerro y veis el campo 
desde los picos donde habita el águila, 
son tornasoles de carmín y acero,
llanos plomizos, lomas plateadas, 
circuidos por montes de violeta, 
con las cumbres de nieve sonrosada.",CXIII,113,,,,,,,,,
50220,Antonio Machado,02-Campos de Castilla (1907-1917),,(Campos de Soria),IV,,"¡Las figuras del campo sobre el cielo! 
Dos lentos bueyes aran 
en un alcor, cuando el otoño empieza, 
y entre las negras testas doblegadas 
bajo el pesado yugo, 
pende un cesto de juncos y retama, 
que es la cuna de un niño; 
y tras la yunta marcha 
un hombre que se inclina hacia la tierra, 
y una mujer que en las abiertas zanjas 
arroja la semilla. 
Bajo una nube de carmín y llama, 
en el oro fluido y verdinoso 
del poniente, las sombras se agigantan.",CXIII,113,,,,,,,,,
50221,Antonio Machado,02-Campos de Castilla (1907-1917),,(Campos de Soria),V,,"La nieve. En el mesón al campo abierto 
se ve el hogar donde la leña humea 
y la olla al hervir borbollonea. 
El cierzo corre por el campo yerto, 
alborotando en blancos torbellinos 
la nieve silenciosa. 
La nieve sobre el campo y los caminos, 
cayendo está como sobre una fosa. 
Un viejo acurrucado tiembla y tose 
cerca del fuego; su mechón de lana 
la vieja hila, y una niña cose 
verde ribete a su estameña grana. 
Padres los viejos son de un arriero 
que caminó sobre la blanca tierra, 
y una noche perdió ruta y sendero, 
y se enterró en las nieves de la sierra. 
En torno al fuego hay un lugar vacío,
y en la frente del viejo, de hosco ceño, 
como un tachón sombrío 
—tal el golpe de un hacha sobre un leño—.
La vieja mira al campo, cual si oyera 
pasos sobre la nieve. Nadie pasa. 
Desierta la vecina carretera, 
desierto el campo en torno de la casa. 
La niña piensa que en los verdes prados 
ha de correr con otras doncellitas 
en los días azules y dorados, 
cuando crecen las blancas margaritas.",CXIII,113,,,,,,,,,
50222,Antonio Machado,02-Campos de Castilla (1907-1917),,(Campos de Soria),VI,,"¡Soria fría, Soria pura, 
cabeza de Extremadura, 
con su castillo guerrero 
arruinado, sobre el Duero; 
con sus murallas roídas 
y sus casas denegridas! 

¡Muerta ciudad de señores 
soldados o cazadores; 
de portales con escudos 
de cien linajes hidalgos, 
y de famélicos galgos, 
de galgos flacos y agudos, 
que pululan 
por las sórdidas callejas, 
y a la media noche ululan, 
cuando graznan las cornejas!

¡Soria fría! La campana 
de la Audiencia da la una. 
Soria, ciudad castellana 
¡tan bella! bajo la luna.",CXIII,113,,,,,,,,,
50223,Antonio Machado,02-Campos de Castilla (1907-1917),,(Campos de Soria),VII,,"¡Colinas plateadas, 
grises alcores, cárdenas roquedas 
por donde traza el Duero 
su curva de ballesta 
en torno a Soria, obscuros encinares, 
ariscos pedregales, calvas sierras, 
caminos blancos y álamos del río, 
tardes de Soria, mística y guerrera,
hoy siento por vosotros, en el fondo 
del corazón, tristeza, 
tristeza que es amor! ¡Campos de Soria 
donde parece que las rocas sueñan, 
conmigo vais! ¡Colinas plateadas, 
grises alcores, cárdenas roquedas! . . .",CXIII,113,,,,,,,,,
50224,Antonio Machado,02-Campos de Castilla (1907-1917),,(Campos de Soria),VIII,,"He vuelto a ver los álamos dorados, 
álamos del camino en la ribera 
del Duero, entre San Polo y San Saturio, 
tras las murallas viejas 
de Soria—barbacana 
hacia Aragón, en castellana tierra. 

Estos chopos del río, que acompañan 
con el sonido de sus hojas secas 
el son del agua, cuando el viento sopla, 
tienen en sus cortezas 
grabadas iniciales que son nombres 
de enamorados, cifras que son fechas. 
¡Álamos del amor que ayer tuvisteis 
de ruiseñores vuestras ramas llenas; 
álamos que seréis mañana liras 
del viento perfumado en primavera;
álamos del amor cerca del agua 
que corre y pasa y sueña, 
álamos de las márgenes del Duero, 
conmigo vais, mi corazón os lleva!",CXIII,113,,,,,,,,,
50225,Antonio Machado,02-Campos de Castilla (1907-1917),,(Campos de Soria),IX,,"¡Oh, sí, conmigo vais, campos de Soria, 
tardes tranquilas, montes de violeta, 
alamedas del río, verde sueño 
del suelo gris y de la parda tierra, 
agria melancolía 
de la ciudad decrépita, 
me habéis llegado al alma, 
¿o acaso estabais en el fondo de ella? 
¡Gentes del alto llano numantino 
que a Dios guardáis como cristianas viejas,
que el sol de España os llene 
de alegría, de luz y de riqueza!",CXIII,113,,,,,,,,,
50226,Antonio Machado,02-Campos de Castilla (1907-1917),,(La tierra de Alvargonzález),I,Al poeta Juan Ramón Jiménez,"Siendo mozo Alvargonzález, 
dueño de mediana hacienda, 
que en otras tierras se dice 
bienestar y aquí, opulencia, 
en la feria de Berlanga 
prendóse de una doncella, 
y la tomó por mujer 
al año de conocerla. 
Muy ricas las bodas fueron, 
y quien las vio las recuerda; 
sonadas las tornabodas 
que hizo Alvar en su aldea; 
hubo gaitas, tamboriles, 
flauta, bandurria y vihuela, 
fuegos a la valenciana 
y danza a la aragonesa.
",CXIV,114,,,,,,,,,
50227,Antonio Machado,02-Campos de Castilla (1907-1917),,(La tierra de Alvargonzález),II,,"Feliz vivió Alvargonzález 
en el amor de su tierra. 
Naciéronle tres varones, 
que en el campo son riqueza, 
y, ya crecidos, los puso, 
uno a cultivar la huerta, 
otro a cuidar los merinos, 
y dio el menor a la Iglesia.",CXIV,114,,,,,,,,,
50228,Antonio Machado,02-Campos de Castilla (1907-1917),,(La tierra de Alvargonzález),III,,"Mucha sangre de Caín 
tiene la gente labriega,
y en el hogar campesino 
armó la envidia pelea. 

Casáronse los mayores; 
tuvo Alvargonzález nueras, 
que le trajeron cizaña, 
antes que nietos le dieran. 

La codicia de los campos 
ve tras la muerte la herencia; 
no goza de lo que tiene 
por ansia de lo que espera. 

El menor, que a los latines 
prefería las doncellas 
hermosas y no gustaba
de vestir por la cabeza, 
colgó la sotana un día 
y partió a lejanas tierras. 
La madre lloró; y el padre 
diole bendición y herencia.",CXIV,114,,,,,,,,,
50229,Antonio Machado,02-Campos de Castilla (1907-1917),,(La tierra de Alvargonzález),IV,,"Alvargonzález ya tiene 
la adusta frente arrugada, 
por la barba le platea 
la sombra azul de la cara. 

Una mañana de otoño 
salió solo de su casa; 
no llevaba sus lebreles, 
agudos canes de caza; 

iba triste y pensativo 
por la alameda dorada; 
anduvo largo camino 
y llegó a una fuente clara. 

Echóse en la tierra; puso 
sobre una piedra la manta, 
y a la vera de la fuente
durmió al arrullo del agua.",CXIV,114,,,,,,,,,
50230,Antonio Machado,02-Campos de Castilla (1907-1917),,El sueño,I,,"Y Alvargonzález veía, 
como Jacob, una escala 
que iba de la tierra al cielo, 
y oyó una voz que le hablaba. 
Mas las hadas hilanderas, 
entre las vedijas blancas 
y vellones de oro, han puesto 
un mechón de negra lana.",CXIV,114,,,,,,,,,
50231,Antonio Machado,02-Campos de Castilla (1907-1917),,El sueño,II,,"Tres niños están jugando 
a la puerta de su casa; 
entre los mayores brinca 
un cuervo de negras alas. 
La mujer vigila, cose 
y, a ratos, sonríe y canta. 
—Hijos, ¿qué hacéis?, les pregunta. 
Ellos se miran y callan. 
—Subid al monte, hijos míos, 
y antes que la noche caiga, 
con un brazado de estepas 
hacedme una buena llama.",CXIV,114,,,,,,,,,
50232,Antonio Machado,02-Campos de Castilla (1907-1917),,El sueño,III,,"Sobre el lar de Alvargonzález 
está la leña apilada; 
el mayor quiere encenderla, 
pero no brota la llama. 
—Padre, la hoguera no prende, 
está la estepa mojada. 

Su hermano viene a ayudarle 
y arroja astillas y ramas 
sobre los troncos de roble; 
pero el rescoldo se apaga. 
Acude el menor, y enciende, 
bajo la negra campana
de la cocina, una hoguera 
que alumbra toda la casa.",CXIV,114,,,,,,,,,
50233,Antonio Machado,02-Campos de Castilla (1907-1917),,El sueño,IV,,"Alvargonzález levanta 
en brazos al más pequeño 
y en sus rodillas lo sienta: 
—Tus manos hacen el fuego; 
aunque el último naciste 
tú eres en mi amor primero. 

Los dos mayores se alejan 
por los rincones del sueño. 
Entre los dos fugitivos 
reluce un hacha de hierro. ",CXIV,114,,,,,,,,,
50234,Antonio Machado,02-Campos de Castilla (1907-1917),,Aquella tarde . . .,I,,"Sobre los campos desnudos, 
la luna llena manchada 
de un arrebol purpurino, 
enorme globo, asomaba. 
Los hijos de Alvargonzález 
silenciosos caminaban, 
y han visto al padre dormido 
junto de la fuente clara.",CXIV,114,,,,,,,,,
50235,Antonio Machado,02-Campos de Castilla (1907-1917),,Aquella tarde . . .,II,,"Tiene el padre entre las cejas 
un ceño que le aborrasca 
el rostro, un tachón sombrío 
como la huella de un hacha. 
Soñando está con sus hijos, 
que sus hijos lo apuñalan; 
y cuando despierta mira 
que es cierto lo que soñaba.",CXIV,114,,,,,,,,,
50236,Antonio Machado,02-Campos de Castilla (1907-1917),,Aquella tarde . . .,III,,"A la vera de la fuente 
quedó Alvargonzález muerto.
Tiene cuatro puñaladas 
entre el costado y el pecho, 
por donde la sangre brota, 
más un hachazo en el cuello. 
Cuenta la hazaña del campo 
el agua clara corriendo, 
mientras los dos asesinos 
huyen hacia los hayedos. 
Hasta la Laguna Negra, 
bajo las fuentes del Duero, 
llevan el muerto, dejando 
detrás un rastro sangriento; 
y en la laguna sin fondo, 
que guarda bien los secretos, 
con una piedra amarrada
a los pies, tumba le dieron.",CXIV,114,,,,,,,,,
50237,Antonio Machado,02-Campos de Castilla (1907-1917),,Aquella tarde . . .,IV,,"Se encontró junto a la fuente 
la manta de Alvargonzález, 
y, camino del hayedo, 
se vio un reguero de sangre. 
Nadie de la aldea ha osado 
a la laguna acercarse, 
y en sondarla inútil fuera, 
que es la laguna insondable. 
Un buhonero, que cruzaba 
aquellas tierras errante, 
fue en Dauria acusado, preso 
y muerto en garrote infame.",CXIV,114,,,,,,,,,
50238,Antonio Machado,02-Campos de Castilla (1907-1917),,Aquella tarde . . .,V,,"Pasados algunos meses, 
la madre murió de pena. 
Los que muerta la encontraron 
dicen que las manos yertas 
sobre su rostro tenía, 
oculto el rostro con ellas.
",CXIV,114,,,,,,,,,
50239,Antonio Machado,02-Campos de Castilla (1907-1917),,Aquella tarde . . .,VI,,"Los hijos de Alvargonzález 
ya tienen majada y huerta, 
campos de trigo y centeno 
y prados de fina hierba; 
en el olmo viejo, hendido 
por el rayo, la colmena, 
dos yuntas para el arado, 
un mastín y mil ovejas.",CXIV,114,,,,,,,,,
50240,Antonio Machado,02-Campos de Castilla (1907-1917),,Otros días,I,,"Ya están las zarzas floridas 
y los ciruelos blanquean; 
ya las abejas doradas 
liban para sus colmenas, 
y en los nidos, que coronan 
las torres de las iglesias, 
asoman los garabatos 
ganchudos de las cigüeñas. 
Ya los olmos del camino 
y chopos de las riberas 
de los arroyos, que buscan 
al padre Duero, verdean. 
El cielo está azul, los montes 
sin nieve son de violeta. 
La tierra de Alvargonzález 
se colmará de riqueza; 
muerto está quien la ha labrado,
mas no le cubre la tierra.",CXIV,114,,,,,,,,,
50241,Antonio Machado,02-Campos de Castilla (1907-1917),,Otros días,II,,"La hermosa tierra de España 
adusta, fina y guerrera 
Castilla, de largos ríos, 
tiene un puñado de sierras 
entre Soria y Burgos como 
reductos de fortaleza, 
como yelmos crestonados, 
y Urbión es una cimera.",CXIV,114,,,,,,,,,
50242,Antonio Machado,02-Campos de Castilla (1907-1917),,Otros días,III,,"Los hijos de Alvargonzález, 
por una empinada senda, 
para tomar el camino 
de Salduero a Covaleda, 
cabalgan en pardas mulas, 
bajo el pinar de Vinuesa. 
Van en busca de ganado 
con que volver a su aldea, 
y por tierra de pinares 
larga jornada comienzan. 
Van Duero arriba, dejando 
atrás los arcos de piedra 
del puente y el caserío 
de la ociosa y opulenta 
villa de indianos. El río, 
al fondo del valle, suena, 
y de las cabalgaduras 
los cascos baten las piedras. 
A la otra orilla del Duero 
canta una voz lastimera: 
«La tierra de Alvargonzález 
se colmará de riqueza, 
y el que la tierra ha labrado 
no duerme bajo la tierra.»",CXIV,114,,,,,,,,,
50243,Antonio Machado,02-Campos de Castilla (1907-1917),,Otros días,IV,,"Llegados son a un paraje 
en donde el pinar se espesa, 
y el mayor, que abre la marcha, 
su parda mula espolea, 
diciendo: Démonos prisa; 
porque son más de dos leguas 
de pinar y hay que apurarlas 
antes que la noche venga. 

Dos hijos del campo, hechos 
a quebradas y asperezas, 
porque recuerdan un día 
la tarde en el monte tiemblan. 
Allá en lo espeso del bosque
otra vez la copla suena: 
«La tierra de Alvargonzález 
se colmará de riqueza,
y el que la tierra ha labrado 
no duerme bajo la tierra.»",CXIV,114,,,,,,,,,
50244,Antonio Machado,02-Campos de Castilla (1907-1917),,Otros días,V,,"Desde Salduero el camino 
va al hilo de la ribera; 
a ambas márgenes de río 
el pinar crece y se eleva, 
y las rocas se aborrascan, 
al par que el valle se estrecha. 
Los fuertes pinos del bosque 
con sus copas gigantescas, 
y sus desnudas raíces 
amarradas a las piedras; 
los de troncos plateados 
cuyas frondas azulean, 
pinos jóvenes; los viejos, 
cubiertos de blanca lepra, 
musgos y líquenes canos 
que el grueso tronco rodean, 
colman el valle y se pierden
rebasando ambas laderas. 
Juan, el mayor, dice:—Hermano, 
si Blas Antonio apacienta 
cerca de Urbión su vacada, 
largo camino nos queda. 
—Cuanto hacia Urbión alarguemos 
se puede acortar de vuelta, 
tomando por el atajo, 
hacia la Laguna Negra, 
y bajando por el puerto 
de Santa Inés a Vinuesa. 
—Mala tierra y peor camino. 
Te juro que no quisiera 
verlos otra vez. Cerremos 
los tratos en Covaleda; 
hagamos noche y, al alba, 
volvámonos a la aldea
por este valle, que, a veces, 
quien piensa atajar rodea. 
Cerca del río cabalgan 
los hermanos, y contemplan 
cómo el bosque centenario, 
al par que avanzan, aumenta, 
y la roqueda del monte 
el horizonte les cierra. 
El agua, que va saltando, 
parece que canta o cuenta: 
«La tierra de Alvargonzález 
se colmará de riqueza, 
y el que la tierra ha labrado 
no duerme bajo la tierra.»",CXIV,114,,,,,,,,,
50245,Antonio Machado,02-Campos de Castilla (1907-1917),,Castigo,I,,"Aunque la codicia tiene 
redil que encierre la oveja, 
trojes que guarden el trigo, 
bolsas para la moneda, 
y garras, no tiene manos 
que sepan labrar la tierra. 
Así, a un año de abundancia 
siguió un año de pobreza.",CXIV,114,,,,,,,,,
50246,Antonio Machado,02-Campos de Castilla (1907-1917),,Castigo,II,,"En los sembrados crecieron 
las amapolas sangrientas; 
pudrió el tizón las espigas 
de trigales y de avenas; 
hielos tardíos mataron 
en flor la fruta en la huerta, 
y una mala hechicería 
hizo enfermar las ovejas. 
A los dos Alvargonzález 
maldijo Dios en sus tierras, 
y al año pobre siguieron 
largos años de miseria.",CXIV,114,,,,,,,,,
50247,Antonio Machado,02-Campos de Castilla (1907-1917),,Castigo,III,,"Es una noche de invierno. 
Cae la nieve en remolinos. 
Los Alvargonzález velan 
un fuego casi extinguido. 
El pensamiento amarrado 
tienen a un recuerdo mismo, 
y en las ascuas mortecinas 
del hogar los ojos fijos. 
No tienen leña ni sueño. 
Larga es la noche y el frío 
arrecia. Un candil humea 
en el muro ennegrecido. 
El aire agita la llama, 
que pone un fulgor rojizo 
sobre las dos pensativas 
testas de los asesinos. 
El mayor de Alvargonzález,
lanzando un ronco suspiro, 
rompe el silencio, exclamando: 
—Hermano, ¡qué mal hicimos! 
El viento la puerta bate, 
hace temblar el postigo, 
y suena en la chimenea 
con hueco y largo bramido. 
Después el silencio vuelve, 
y a intervalos el pabilo 
del candil chisporrotea 
en el aire aterecido. 
El segundón dijo;—¡Hermano, 
demos lo viejo al olvido!",CXIV,114,,,,,,,,,
50248,Antonio Machado,02-Campos de Castilla (1907-1917),,El viajero,I,,"Es una noche de invierno. 
Azota el viento las ramas 
de los álamos. La nieve 
ha puesto la tierra blanca. 
Bajo la nevada, un hombre
por el camino cabalga; 
va cubierto hasta los ojos, 
embozado en negra capa. 
Entrado en la aldea, busca 
de Alvargonzález la casa, 
y ante su puerta llegado, 
sin echar pie a tierra, llama.",CXIV,114,,,,,,,,,
50249,Antonio Machado,02-Campos de Castilla (1907-1917),,El viajero,II,,"Los dos hermanos oyeron 
una aldabada a la puerta, 
y de una cabalgadura 
los cascos sobre las piedras. 
Ambos los ojos alzaron 
llenos de espanto y sorpresa, 
—¿Quién es? responda, gritaron, 
—Miguel, respondieron fuera. 
Era la voz del viajero 
que partió a lejanas tierras.",CXIV,114,,,,,,,,,
50250,Antonio Machado,02-Campos de Castilla (1907-1917),,El viajero,III,,"Abierto el portón, entróse 
a caballo el caballero 
y echó pie a tierra. Venía 
todo de nieve cubierto. 
En brazos de sus hermanos 
lloró algún rato en silencio. 
Después dio el caballo al uno, 
al otro, capa y sombrero, 
y en la estancia campesina 
buscó el arrimo del fuego.",CXIV,114,,,,,,,,,
50251,Antonio Machado,02-Campos de Castilla (1907-1917),,El viajero,IV,,"El menor de los hermanos, 
que niño y aventurero 
fue más allá de los mares 
y hoy torna indiano opulento, 
vestía con negro traje 
de peludo terciopelo, 
ajustado a la cintura 
por ancho cinto de cuero.
Gruesa cadena formaba 
un bucle de oro en su pecho. 
Era un hombre alto y robusto, 
con ojos grandes y negros 
llenos de melancolía; 
la tez de color moreno, 
y sobre la frente comba 
enmarañados cabellos; 
el hijo que saca porte
señor de padre labriego, 
a quien fortuna le debe 
amor, poder y dinero. 
De los tres Alvargonzález 
era Miguel el más bello; 
porque al mayor afeaba 
el muy poblado entrecejo 
bajo la frente mezquina, 
y al segundo, los inquietos 
ojos que mirar no saben 
de frente, torvos y fieros.",CXIV,114,,,,,,,,,
50252,Antonio Machado,02-Campos de Castilla (1907-1917),,El viajero,V,,"Los tres hermanos contemplan 
el triste hogar en silencio; 
y con la noche cerrada 
arrecia el frío y el viento. 
—Hermanos, ¿no tenéis leña?, 
dice Miguel. 
 
—No tenemos, 
responde el mayor. 
 
Un hombre, 
milagrosamente, ha abierto 
la gruesa puerta cerrada 
con doble barra de hierro. 
El hombre que ha entrado tiene 
el rostro del padre muerto. 
Un halo de luz dorada
orla sus blancos cabellos. 
Lleva un haz de leña al hombro 
y empuña un hacha de hierro.",CXIV,114,,,,,,,,,
